2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Activities - Poultry and eggs,apoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.644236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74593618,10.87378361,10.45958593,9.938695428,8.520698209,0.21253987,0.185323815,0.545986467,0.732423722,1.114425956,,,,,,,,,2473.973635
Activities - Other livestock,aoliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403.563106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.9117935,175.9677474,157.6351382,131.7483225,88.0532433,2.812920481,3.842727654,6.755101319,5.182608817,2.69646825,,,,,,,,,3152.169177
Activities - Forestry,afore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770.192586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.44908591,79.91458217,81.47936661,73.92858058,39.15436884,1.462479213,2.137730954,3.246686348,3.370241599,3.17567701,,,,,,,,,4129.511385
Activities - Fisheries,afish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.446777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8600804,340.4519694,386.9963926,385.373557,195.7434435,0.784686795,10.62602048,5.832462255,35.07669739,16.44701755,,,,,,,,,3751.639104
Activities - Mining,amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8103.887299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228202607,0.298119026,0.350800764,0.356234016,0.224886439,,0.056629964,0.003757187,,0.015599732,,,,,,,,,8105.421528
Activities - Processed foods,afood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18788.86216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.560284324,10.77621609,11.63742435,10.62750906,8.933482201,0.125750967,0.255452523,0.434722025,0.757385803,1.489017813,,,,,,,,,18842.45941
Activities - Beverage and tobacco,abeve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.114815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46457845,1.61250595,0.222615244,1.879591443,0.102103394,,0.00370445,0.003912394,,0.00267984,,,,,,,,,1274.406506
"Activities - Textiles, clothing and footwear",atext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14608.08862,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343813503,0.629423377,0.989954408,0.845226457,0.295267887,0.004717589,0.010351196,0.019070967,0.037187163,0.033864713,,,,,,,,,14611.2975
Activities - Wood and paper products,awood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.735138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219.735138
Activities - Chemicals and petroleum,achem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42972.80163,,,,,,,,,,,,,,,,,,,,,,,,,,0.367643456,0.628538746,0.765567304,0.572804038,0.387053184,0.002792789,0.014224172,0.024518949,0.056878902,0.05952819,,,,,,,,,42975.68118
Activities - Non-metal minerals,anmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6178.151984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6178.151984
Activities - Metals and metal products,ametl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32540.69817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32540.69817
"Activities - Machinery, equipment and vehicles",amach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29036.61791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29036.61791
